time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
26-5-2021 19:14:43,1622070883.0794468,1000.0,60.8,5903.68,2426.37,18464.75,11.0,169063643,166067449,0.000314504128685484,0.00045634124404258353,0,0,3.1224114242065006,543.25,302.59,0.0,0.02,92198,606,0,503808,49141616,878673
26-5-2021 19:14:48,1622070888.0818348,1500.0,77.3,5915.39,2431.16,18468.17,11.0,169227463,166330687,0.0003274835938036186,0.00052622467504381,0,0,3.149245809917314,551.44,306.64,0.0,0.02,93205,612,0,503808,49220816,885663
26-5-2021 19:14:53,1622070893.1030319,1500.0,58.3,5925.36,2434.86,18474.3,11.0,169375598,166545516,0.0002950192904635789,0.00042784419044115295,0,0,3.109564648052895,557.92,309.58,0.0,0.02,94208,616,0,503808,49297732,890323
26-5-2021 19:14:58,1622070898.106891,1500.0,94.5,5936.49,2438.88,18478.98,10.9,169524353,166765514,0.0002972805563028184,0.0004396566691910016,0,0,3.151775483986171,565.3,313.06,0.0,0.02,95216,620,0,503808,49374938,894983
26-5-2021 19:15:3,1622070903.1106806,1500.0,70.5,5947.52,2444.32,18482.38,11.0,169687421,167023162,0.00032588899808385166,0.000514905736124244,0,0,3.1535115348177394,572.38,317.56,0.0,0.02,96228,626,0,503808,49454448,901973
26-5-2021 19:15:8,1622070908.112824,1500.0,87.7,5958.32,2449.43,18486.26,11.0,169845801,167264629,0.00031662427058255495,0.00048272706620001136,0,0,3.1555947958156216,579.7,322.07,0.0,0.02,97238,631,0,503808,49532839,907798
26-5-2021 19:15:13,1622070913.1166754,1500.0,91.1,5970.01,2454.06,18489.95,11.0,169996487,167497339,0.00030114003702554174,0.00046506177094231597,0,0,3.15162667962918,587.46,326.14,0.0,0.02,98248,636,0,503808,49611210,913621
26-5-2021 19:15:18,1622070918.120439,1500.0,80.5,5980.13,2458.82,18494.83,11.0,170153114,167730796,0.00031301838006650304,0.00046656280178504093,0,0,3.1536603391747313,593.85,330.12,0.0,0.02,99256,640,0,503808,49688412,918281
26-5-2021 19:15:23,1622070923.1224341,1500.0,89.5,5990.86,2463.92,18498.82,11.1,170444780,168086628,0.0005830993332585951,0.0007113801469902985,0,0,3.1536603391747313,600.87,334.61,0.0,0.02,100264,644,0,503808,49765626,922941
26-5-2021 19:15:28,1622070928.1261294,1500.0,86.8,6000.57,2469.26,18503.46,11.0,170591843,168292601,0.0002939087867371731,0.0004116417761817436,0,0,3.151378672367527,606.79,339.0,0.0,0.02,101284,648,0,503808,49843465,927601
26-5-2021 19:15:33,1622070933.1303859,1500.0,89.4,6010.29,2473.43,18509.51,11.0,170742304,168511225,0.00030066604378510976,0.00043687608853108665,0,0,3.1402679470454893,613.0,342.53,0.0,0.02,102304,652,0,503808,49921316,932261
26-5-2021 19:15:38,1622070938.131737,1500.0,91.2,6021.95,2478.31,18512.83,10.9,170900001,168755794,0.0003153087961164669,0.0004890058590677577,0,0,3.150188237511594,621.13,346.89,0.0,0.02,103326,657,0,503808,50000338,938086
26-5-2021 19:15:43,1622070943.1354983,1500.0,62.8,6031.94,2482.41,18518.43,11.0,171055523,168990418,0.0003108101904542634,0.0004688952696412153,0,0,3.1451288893738805,627.39,350.29,0.0,0.02,104348,662,0,503808,50079370,943911
26-5-2021 19:15:48,1622070948.1370416,1500.0,92.8,6043.04,2487.68,18522.0,11.0,171212286,169231406,0.00031342925796190325,0.00048182728078515424,0,0,3.1089198291725983,635.12,354.93,0.0,0.02,105370,667,0,503808,50158384,949736
26-5-2021 19:15:53,1622070953.1419811,1500.0,91.4,6054.67,2493.11,18524.79,11.0,171370258,169472145,0.0003156321834232253,0.0004810028119231499,0,0,3.1056461333187837,643.06,359.6,0.0,0.02,106392,672,0,503808,50237402,955561
26-5-2021 19:15:58,1622070958.1457658,1500.0,95.8,6066.82,2497.83,18527.82,11.0,171526368,169719874,0.0003119838496575611,0.0004950832559849974,0,0,3.154652368221342,651.51,363.94,0.0,0.02,107416,678,0,503808,50317591,962551
26-5-2021 19:16:3,1622070963.1535072,1500.0,85.3,6077.53,2503.13,18531.43,11.0,171689132,169973044,0.0003250247673208757,0.0005055572506366648,0,0,3.153362730460748,658.36,368.26,0.0,0.02,108438,683,0,503808,50396617,968376
26-5-2021 19:16:8,1622070968.157459,1500.0,94.3,6088.34,2508.94,18534.64,11.0,171842362,170207796,0.0003062179782967439,0.00046913321700135243,0,0,3.15544599145863,665.66,373.46,0.0,0.02,109460,688,0,503808,50475626,974201
26-5-2021 19:16:13,1622070973.1619265,1500.0,70.0,6098.11,2513.15,18540.44,11.0,171994546,170430058,0.00030409629073449216,0.00044412717349543774,0,0,3.1449800850168894,672.11,376.76,0.0,0.02,110480,692,0,503808,50553490,978861
26-5-2021 19:16:18,1622070978.1670313,1500.0,60.7,6108.75,2517.96,18544.72,11.0,172143109,170653056,0.0002968229568096042,0.00044554112210057757,0,0,3.1545531653166807,679.27,381.21,0.0,0.02,111494,696,0,503808,50631039,983521
